_id,CoordXAval,CoordYAval
665992d1c4de9b0113c1c636,395335.68,6286777.64
665992d1c4de9b0113c1c63c,442897.58,6199866.49
665992d1c4de9b0113c1c64b,407019.66,6233666.27
665992d1c4de9b0113c1c651,407019.66,6233666.27
665992d1c4de9b0113c1c653,405859.67,6219577.54
665992d1c4de9b0113c1c656,385338.07,6249649.29
665992d1c4de9b0113c1c65b,371738.8,6264052.5
665992d1c4de9b0113c1c65d,354459.61,6239340.2
665992d1c4de9b0113c1c661,347604.47,6250442.94
665992d1c4de9b0113c1c662,354235.5,6241651.3
665992d1c4de9b0113c1c663,354235.5,6241651.3
665992d1c4de9b0113c1c665,349513.84,6245823.27
665992d1c4de9b0113c1c666,349513.84,6245823.27
665992d1c4de9b0113c1c6c5,398281.5,6382262.8
665992d1c4de9b0113c1c6c7,406457.62,6370858.01
665992d1c4de9b0113c1c6d9,330931.28,6261094.68
665992d1c4de9b0113c1c6da,330931.28,6261094.68
665992d1c4de9b0113c1c6dd,723833,6582313
665992d1c4de9b0113c1c6e8,772600,6421872
665992d1c4de9b0113c1c6e9,772600,6421872
665992d1c4de9b0113c1c6ea,750229.67,2057689.46
665992d1c4de9b0113c1c727,205510,6824954
665992d1c4de9b0113c1c737,822213,7000698
665992d2c4de9b0113c1c745,217878,6787989
665992d2c4de9b0113c1c751,197136,6772951
665992d2c4de9b0113c1c7d1,929801,6877230
665992d2c4de9b0113c1c7d3,768605,6402976
665992d2c4de9b0113c1c7d6,670419,6604516
